year,country,region_name,infection_rate
2005,Ethiopia,Somali,0.2604166666666666
2005,Ethiopia,Tigray,1.4073494917904612
2013,Gambia,Upper River,0.7927519818799547
2013,Gambia,West Coast,2.2058823529411766
2013,Gambia,Kanifing Municipal Council,1.8072289156626504
2013,Gambia,North Bank,1.288244766505636
2013,Gambia,Lower River,2.564102564102564
2019,Gabon,Haut-Ogooue,2.4734982332155475
2019,Gabon,Moyen-Ogooue,4.57190357439734
2019,Gabon,Ngounie,4.343720491029273
2019,Gabon,Nyanga,5.284552845528456
2019,Gabon,Ogooue-Ivindo,2.564102564102564
2019,Gabon,Ogooue-lolo,3.082437275985664
2019,Gabon,Woleu-Ntem,5.487411233053583
2012,Gabon,Estuaire,4.18848167539267
2012,Gabon,Haut-Ogooue,4.155374887082204
2012,Gabon,Moyen-Ogooue,5.92841163310962
2012,Gabon,Ngounie,4.684838160136287
2012,Gabon,Nyanga,3.944562899786781
2012,Gabon,Ogooue-Maritime,4.842615012106537
2012,Gabon,Ogooue-Ivindo,2.323780015491866
2012,Gabon,Ogooue-lolo,3.2618825722274
2012,Gabon,Woleu-Ntem,8.32408435072142
2016,Ethiopia,Addis Ababa,3.5198221563542056
2016,Ethiopia,Afar,1.285634432643935
2016,Ethiopia,Amhara,1.192504258943782
2016,Ethiopia,Beneshangul Gumu,0.8101265822784811
2016,Ethiopia,Dire Dawa,2.6706231454005933
2016,Ethiopia,Gambela,4.516129032258064
2016,Ethiopia,Hareri,2.677165354330709
2016,Ethiopia,Oromia,0.6647398843930636
2016,Ethiopia,SNNPR,0.358744394618834
2016,Ethiopia,Somali,0.0919963201471941
2016,Ethiopia,Tigray,1.0759919300605243
2012,Guinea,Boke,1.6129032258064515
2012,Guinea,Conakry,2.921840759678598
2012,Guinea,Faranah,1.6682113067655238
2012,Guinea,Kankan,1.8440905280804687
2012,Guinea,Kindia,1.5151515151515151
2012,Guinea,Labe,1.8713450292397664
2012,Guinea,Mamou,1.7751479289940828
2012,Guinea,Nzerekore,1.93929173693086
2018,Guinea,Boke,2.195306585919758
2018,Guinea,Conakry,1.7676767676767675
2018,Guinea,Faranah,1.0535557506584723
2018,Guinea,Kankan,0.596252129471891
2018,Guinea,Kindia,1.7889087656529516
2018,Guinea,Labe,1.95852534562212
2018,Guinea,Mamou,0.9316770186335404
2018,Guinea,Nzerekore,1.2949640287769784
2005,Guinea,Boke,1.32890365448505
2005,Guinea,Conakry,3.005780346820809
2005,Guinea,Faranah,1.5151515151515151
2005,Guinea,Kankan,1.6968325791855203
2005,Guinea,Kindia,0.8743169398907104
2005,Guinea,Labe,1.8662519440124417
2005,Guinea,Mamou,0.957592339261286
2005,Guinea,Nzerekore,1.2556053811659191
2014,Ghana,Ashanti,1.956521739130435
2014,Ghana,Brong Ahafo,1.791044776119403
2014,Ghana,Central,1.5945330296127564
2014,Ghana,Eastern,3.302961275626424
2014,Ghana,Greater Accra,2.408376963350785
2014,Ghana,Northern,0.4863813229571984
2014,Ghana,Upper East,1.11358574610245
2014,Ghana,Upper West,0.2816901408450704
2014,Ghana,Volta,2.5299600532623168
2014,Ghana,Western,2.9865125240847785
2003,Ghana,Ashanti,2.08110992529349
2003,Ghana,Brong Ahafo,2.366412213740458
2003,Ghana,Central,1.8258426966292127
2003,Ghana,Eastern,2.9580152671755724
2003,Ghana,Greater Accra,1.4814814814814816
2003,Ghana,Northern,0.5738880918220948
2003,Ghana,Upper East,1.359003397508494
2003,Ghana,Upper West,1.3499480789200415
2003,Ghana,Volta,1.1566771819137749
2003,Ghana,Western,2.2181146025878005
2014,Lesotho,Berea,25.98639455782313
2014,Lesotho,Butha Buthe,21.071428571428573
2014,Lesotho,Leribe,26.049204052098407
2014,Lesotho,Mafeteng,25.333333333333336
2014,Lesotho,Maseru,27.035830618892508
2014,Lesotho,Mohale's Hoek,22.43150684931507
2014,Lesotho,Mokhotlong,20.0
2014,Lesotho,Qacha's Nek,21.330724070450096
2014,Lesotho,Quthing,22.452830188679247
2014,Lesotho,Thaba Tseka,24.62962962962963
2009,Lesotho,Berea,20.79343365253078
2009,Lesotho,Butha Buthe,15.359477124183009
2009,Lesotho,Leribe,23.638778220451528
2009,Lesotho,Mafeteng,20.95639943741209
2009,Lesotho,Maseru,27.07340324118208
2009,Lesotho,Mohale's Hoek,24.81203007518797
2009,Lesotho,Mokhotlong,21.49253731343284
2009,Lesotho,Qacha's Nek,22.04301075268817
2009,Lesotho,Quthing,22.496147919876734
2009,Lesotho,Thaba Tseka,19.97146932952924
2004,Lesotho,Berea,17.537313432835823
2004,Lesotho,Butha Buthe,14.285714285714285
2004,Lesotho,Leribe,21.3653603034134
2004,Lesotho,Mafeteng,17.918313570487484
2004,Lesotho,Maseru,14.592274678111588
2004,Lesotho,Mohale's Hoek,14.417531718569782
2004,Lesotho,Mokhotlong,12.857142857142856
2004,Lesotho,Qacha's Nek,19.215686274509807
2004,Lesotho,Quthing,18.54974704890388
2004,Lesotho,Thaba Tseka,16.50485436893204
2008,Kenya,Central,4.743589743589744
2008,Kenya,Coast,4.6137339055794
2008,Kenya,Eastern,3.161222339304532
2008,Kenya,Nairobi,7.643312101910828
2008,Kenya,North Eastern,0.9638554216867472
2008,Kenya,Nyanza,16.281138790035588
2008,Kenya,Rift Valley,5.156537753222836
2008,Kenya,Western,7.204301075268817
2003,Kenya,Central,3.264490339773484
2003,Kenya,Coast,4.290091930541369
2003,Kenya,Eastern,3.5053554040895816
2003,Kenya,Nairobi,4.628949301983836
2003,Kenya,North Eastern,0.0
2003,Kenya,Nyanza,12.535885167464114
2003,Kenya,Rift Valley,3.75
2003,Kenya,Western,4.662698412698413
2010,Malawi,Central Region,6.835443037974684
2010,Malawi,Northern Region,7.184693479109723
2010,Malawi,Southern Region,13.887647146475937
2004,Malawi,Central Region,7.627118644067797
2004,Malawi,Northern Region,8.391608391608392
2004,Malawi,Southern Region,17.464572960551514
2015,Malawi,Central Region,5.867110864334629
2015,Malawi,Northern Region,6.812735364601164
2015,Malawi,Southern Region,12.630495515365386
2013,Namibia,Caprivi,24.23756019261637
2013,Namibia,Erongo,11.791383219954648
2013,Namibia,Hardap,7.440476190476191
2013,Namibia,Karas,13.260340632603407
2013,Namibia,Kavango,15.302013422818792
2013,Namibia,Khomas,12.13653603034134
2013,Namibia,Kunene,9.81067125645439
2013,Namibia,Ohangwena,16.02836879432624
2013,Namibia,Omaheke,8.01963993453355
2013,Namibia,Omusati,18.598382749326145
2013,Namibia,Oshana,17.682020802377416
2013,Namibia,Oshikoto,15.758468335787922
2013,Namibia,Otjozondjupa,11.494252873563218
2006,Niger,Agadez,1.9746121297602257
2006,Niger,Diffa,1.608187134502924
2006,Niger,Dosso,0.5150214592274678
2006,Niger,Maradi,0.3913894324853229
2006,Niger,Niamey,1.477832512315271
2006,Niger,Tahoua,1.0221465076660987
2006,Niger,Tillaberi,0.4659832246039142
2006,Niger,Zinder,0.5834305717619603
2015,Mozambique,Cabo Delgado,12.650602409638552
2015,Mozambique,Gaza,23.211781206171107
2015,Mozambique,Inhambane,12.66173752310536
2015,Mozambique,Manica,12.56544502617801
2015,Mozambique,Nampula,4.935064935064935
2015,Mozambique,Niassa,8.598130841121495
2015,Mozambique,Sofala,15.652879156528792
2015,Mozambique,Tete,7.0342205323193925
2015,Mozambique,Zambezia,12.94838145231846
2012,Mali,Bamako,1.829268292682927
2012,Mali,Kayes,1.1494252873563218
2012,Mali,Koulikoro,0.9621552277100706
2012,Mali,Mopti,0.757002271006813
2012,Mali,Segou,1.221001221001221
2012,Mali,Sikasso,0.7060333761232349
2006,Mali,Bamako,2.2708840227088403
2006,Mali,Gao,0.5617977528089888
2006,Mali,Kayes,0.8919722497522299
2006,Mali,Kidal,0.5076142131979695
2006,Mali,Koulikoro,1.327433628318584
2006,Mali,Mopti,1.6905071521456438
2006,Mali,Segou,1.4150943396226416
2006,Mali,Sikasso,0.771513353115727
2006,Mali,Tombouctou,0.6944444444444444
2014,Rwanda,East/Iburasirazuba,17.918313570487484
2014,Rwanda,Kigali City/Umujyi wa Kigali,14.285714285714285
2010,Rwanda,East/Iburasirazuba,2.223634053367217
2010,Rwanda,Kigali City/Umujyi wa Kigali,7.436708860759493
2012,Niger,Agadez,0.7339449541284404
2012,Niger,Diffa,0.834326579261025
2012,Niger,Dosso,0.4111842105263157
2012,Niger,Maradi,0.2489110143123833
2012,Niger,Niamey,1.152482269503546
2012,Niger,Tahoua,0.6083650190114068
2012,Niger,Tillaberi,0.1773049645390071
2012,Niger,Zinder,0.1953125
2013,Sierra Leone,Eastern,1.5177065767284992
2013,Sierra Leone,Northern,1.2283236994219653
2013,Sierra Leone,Southern,1.2266802964477383
2013,Sierra Leone,Western Area,2.6495383380168605
2019,Sierra Leone,Eastern,1.2487343908201147
2019,Sierra Leone,Southern,1.38013801380138
2019,Sierra Leone,Western Area,2.689152233363719
2008,Sierra Leone,Eastern,1.4879107253564787
2008,Sierra Leone,Northern,1.0920436817472698
2008,Sierra Leone,Southern,0.947603121516165
2008,Sierra Leone,Western Area,2.8179190751445087
2017,Senegal,Dakar,0.3536067892503536
2017,Senegal,Diourbel,0.3009027081243731
2017,Senegal,Fatick,0.3574620196604111
2017,Senegal,Kaffrine,1.0880316518298714
2017,Senegal,Kaolack,0.5518763796909493
2017,Senegal,Kedougou,0.8928571428571428
2017,Senegal,Kolda,1.5180265654648957
2017,Senegal,Louga,0.4935834155972359
2017,Senegal,Matam,0.6829268292682927
2017,Senegal,Saint louis,0.3
2017,Senegal,Sedhiou,0.5371530886302597
2017,Senegal,Tambacounda,0.8249312557286892
2017,Senegal,Thies,0.2235469448584202
2017,Senegal,Ziguinchor,1.488095238095238
2010,Senegal,Dakar,0.4162330905306972
2010,Senegal,Diourbel,0.3856041131105398
2010,Senegal,Fatick,1.058201058201058
2010,Senegal,Kaffrine,0.5772005772005772
2010,Senegal,Kaolack,1.2725344644750796
2010,Senegal,Kedougou,1.8808777429467085
2010,Senegal,Kolda,2.594033722438392
2010,Senegal,Louga,0.2688172043010753
2010,Senegal,Matam,0.6182380216383307
2010,Senegal,Saint louis,0.7961783439490446
2010,Senegal,Sedhiou,1.2345679012345678
2010,Senegal,Tambacounda,1.4473684210526316
2010,Senegal,Thies,0.3504672897196261
2010,Senegal,Ziguinchor,1.1904761904761905
2005,Senegal,Dakar,0.6825938566552902
2005,Senegal,Diourbel,0.1418439716312056
2005,Senegal,Fatick,0.9787928221859704
2005,Senegal,Kaolack,0.8284023668639053
2005,Senegal,Kolda,1.903553299492386
2005,Senegal,Louga,0.5217391304347827
2005,Senegal,Matam,0.7130124777183601
2005,Senegal,Saint louis,0.5199306759098787
2005,Senegal,Tambacounda,0.2808988764044944
2005,Senegal,Thies,0.3393665158371041
2005,Senegal,Ziguinchor,2.186588921282799
2008,Sao Tome and Principe,Principe,2.793296089385475
2019,Rwanda,East/Iburasirazuba,2.5603296056503826
2019,Rwanda,Kigali City/Umujyi wa Kigali,4.124860646599777
2018,Zambia,Central,14.285714285714285
2018,Zambia,Copperbelt,21.3653603034134
2018,Zambia,Eastern,17.537313432835823
2018,Zambia,Luapula,14.592274678111588
2018,Zambia,Lusaka,17.918313570487484
2018,Zambia,North-Western,19.215686274509807
2018,Zambia,Southern,12.857142857142856
2018,Zambia,Western,16.50485436893204
2010,Zimbabwe,Bulawayo,10.122358175750836
2010,Zimbabwe,Harare,9.31297709923664
2010,Zimbabwe,Manicaland,11.988716502115656
2010,Zimbabwe,Mashonaland Central,12.12121212121212
2010,Zimbabwe,Mashonaland East,12.45048104131296
2010,Zimbabwe,Mashonaland West,12.487462387161484
2010,Zimbabwe,Masvingo,11.511254019292604
2010,Zimbabwe,Matabeleland North,14.537712895377128
2010,Zimbabwe,Matabeleland South,16.15255187885586
2010,Zimbabwe,Midlands,12.848070346849047
2013,Zambia,Central,13.14516129032258
2013,Zambia,Copperbelt,17.220052083333336
2013,Zambia,Eastern,11.972753471312547
2013,Zambia,Luapula,14.011180992313069
2013,Zambia,Lusaka,16.003386960203215
2013,Zambia,North-Western,8.612612612612612
2013,Zambia,Southern,13.944099378881988
2013,Zambia,Western,19.11960871498444
2013,Togo,Centrale,2.0588235294117645
2013,Togo,Kara,1.5339663988312635
2013,Togo,Plateaux,2.2102747909199523
2013,Togo,Savanes,0.3897550111358575
2016,South Africa,Eastern Cape,17.424242424242426
2016,South Africa,Free State,21.08362779740872
2016,South Africa,Gauteng,18.75
2016,South Africa,KwaZulu-Natal,26.89243027888446
2016,South Africa,Limpopo,10.30674846625767
2016,South Africa,Mpumalanga,23.404255319148938
2016,South Africa,North West,20.93784078516903
2016,South Africa,Northern Cape,11.258278145695364
2016,South Africa,Western Cape,11.335012594458435
2015,Zimbabwe,Bulawayo,8.980674497915878
2015,Zimbabwe,Harare,9.167974882260596
2015,Zimbabwe,Manicaland,6.027164685908319
2015,Zimbabwe,Mashonaland Central,7.5
2015,Zimbabwe,Mashonaland East,9.13978494623656
2015,Zimbabwe,Mashonaland West,8.02836879432624
2015,Zimbabwe,Masvingo,7.901591895803184
2015,Zimbabwe,Matabeleland North,10.388782664117272
2015,Zimbabwe,Matabeleland South,11.411925976696368
2015,Zimbabwe,Midlands,8.832159624413146
2001,Mali,Kayes,1.8947368421052635
2001,Mali,Bamako,2.795899347623485
2001,Mali,Gao,0.4149377593360996
2001,Mali,Kidal,1.5384615384615383
2001,Mali,Koulikoro,2.0793950850661624
2001,Mali,Mopti,1.6648168701442845
2001,Mali,Segou,1.2833168805528137
2001,Mali,Sikasso,0.8675078864353312
2001,Mali,Tombouctou,1.083032490974729
2013,Democratic Republic of the Congo,Bandundu,0.2565198802907225
2013,Democratic Republic of the Congo,Bas-Congo,0.4301075268817204
2013,Democratic Republic of the Congo,Equateur,0.8431085043988269
2013,Democratic Republic of the Congo,Kasai Occidental,0.4943502824858757
2013,Democratic Republic of the Congo,Kasai Oriental,1.2757605495583906
2013,Democratic Republic of the Congo,Katanga,1.0919017288444042
2013,Democratic Republic of the Congo,Kinshasa,1.5238095238095235
2013,Democratic Republic of the Congo,Maniema,1.799775028121485
2013,Democratic Republic of the Congo,Nord-Kivu,0.931098696461825
2013,Democratic Republic of the Congo,Orientale,1.8199233716475096
2013,Democratic Republic of the Congo,Sud-Kivu,0.5091649694501018
2015,Angola,Bengo,1.6
2015,Angola,Benguela,1.422475106685633
2015,Angola,Bie,1.9097222222222223
2015,Angola,Cabinda,0.91324200913242
2015,Angola,Cuando Cubango,5.253940455341506
2015,Angola,Kuanza Norte,2.782608695652174
2015,Angola,Cuanza Sul,1.5625
2015,Angola,Cunene,6.278713629402756
2015,Angola,Huambo,0.99009900990099
2015,Angola,Huila,1.1464968152866242
2015,Angola,Luanda,1.7891373801916934
2015,Angola,Lunda Norte,2.973977695167286
2015,Angola,Lunda Sul,3.4700315457413247
2015,Angola,Malanje,2.2413793103448274
2015,Angola,Moxico,4.166666666666666
2015,Angola,Namibe,1.747311827956989
2015,Angola,Uige,1.2269938650306749
2015,Angola,Zaire,0.4098360655737705
2003,Burkina Faso,Centre,2.5306031093097823
2004,Cameroon,Centre,6.508008829092818
2004,Cameroon,Littoral,4.792967175766468
2011,Cameroon,Centre,5.751725356331081
2011,Cameroon,Littoral,4.412563633375994
2018,Cameroon,Centre,3.0533782504459
2018,Cameroon,Littoral,2.2034872434197226
2023,Democratic Republic of the Congo,Bandundu,0.2973586913003424
2023,Democratic Republic of the Congo,Bas-Congo,0.8447729672650475
2023,Democratic Republic of the Congo,Equateur,0.8294513008181794
2023,Democratic Republic of the Congo,Kasai Occidental,0.4757395083377903
2023,Democratic Republic of the Congo,Kasai Oriental,0.6558380005612797
2023,Democratic Republic of the Congo,Katanga,1.3075938945882035
2023,Democratic Republic of the Congo,Kinshasa,0.4222972972972973
2023,Democratic Republic of the Congo,Maniema,0.3944773175542406
2023,Democratic Republic of the Congo,Nord-Kivu,0.8064516129032258
2023,Democratic Republic of the Congo,Orientale,2.533985577617383
2023,Democratic Republic of the Congo,Sud-Kivu,0.5035246727089627
2019,Gabon,Estuaire,4.206660411913785
2019,Gabon,Ogooue-Maritime,4.739688335590834
2013,Gambia,Central River,2.097871063896114
2009,Mozambique,Maputo,13.218556007993088
2015,Mozambique,Maputo,19.634273126846388
2008,Sao Tome and Principe,Sao Tome,1.388982612388889
2019,Sierra Leone,Northern,1.7401315496304364
2013,Togo,Maritime,3.3505626340476535
2013,Zambia,Northern,11.05091543595057
2018,Zambia,Northern,17.021656800671508
