ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,rate_landuse
66,C̫te d'Ivoire,16838,District autonome de Abidjan,0.2935122825869652
40765,Egypt,61515,Cairo,0.2907768040246091
253,Uganda,749,Buikwe,0.28454116480611047
43,Burundi,40554,Muyinga,0.28415210627094306
43,Burundi,40547,Cibitoke,0.2827081329026938
253,Uganda,1371,Rakai,0.28078088531720774
43,Burundi,40546,Cankuzo,0.27968074670154686
257,United Republic of Tanzania,115009,Shinyanga,0.27950429188726256
253,Uganda,47088,Mubende,0.27846538941241683
257,United Republic of Tanzania,48372,Kaskazini Unguja,0.2776775568181818
182,Nigeria,2225,Kano,0.2774937492476527
253,Uganda,1363,Mpigi,0.2745176707110609
253,Uganda,756,Buyende,0.2732318145710395
257,United Republic of Tanzania,48378,Kusini Pemba,0.27085176991150445
253,Uganda,3145,Ssembabule,0.26972807098197865
40765,Egypt,61524,Luxor,0.2696533203125
160,Mauritius,2021,Moka,0.2683674015410959
248,Tunisia,3000,Kairouan,0.2666617919552045
253,Uganda,1089,Gulu,0.2648025807149926
253,Uganda,42201,Yumbe,0.2647525091240876
235,Swaziland,2782,Hhohho,0.26397238756613756
253,Uganda,1372,Lyantonde,0.2619065504807692
253,Uganda,776,Nebbi,0.25843383528784647
235,Swaziland,2784,Manzini,0.2555849933912387
40765,Egypt,61513,Behera,0.2551804435483871
152,Malawi,1890,Southern Region,0.2547810098054965
253,Uganda,1367,Mukono,0.2494711648159416
253,Uganda,42185,Kayunga,0.24403120352007932
248,Tunisia,3010,Sidi Bouz,0.24271869321985273
90,Gambia,1290,West Coast,0.23972003796095445
160,Mauritius,2018,Black River,0.23814793088737202
160,Mauritius,2019,Flacq,0.23534675184729065
144,Liberia,1824,Montserrado,0.23473043676069152
152,Malawi,1888,Central Region,0.23446680889759372
45,Cameroon,822,Ouest,0.23313517877915876
160,Mauritius,2020,Grand Port,0.23018973214285715
248,Tunisia,3009,Sfax,0.22895420915816836
29,Benin,614,Couffo,0.22892146017699114
253,Uganda,3121,Kasese,0.22880558473389356
182,Nigeria,2226,Katsina,0.2284013374538809
94,Ghana,1330,Upper East,0.22828557494110718
257,United Republic of Tanzania,48371,Kaskazini Pemba,0.2261529737903226
47,Cape Verde,848,Santiago,0.2260498857973422
29,Benin,617,Mono,0.22441544017905588
253,Uganda,47067,Amolatar,0.2233640556502679
253,Uganda,47079,Kiruhura,0.22233586356466878
182,Nigeria,2215,Benue,0.2196162741625844
243,Togo,2972,Maritime,0.21925888270547944
257,United Republic of Tanzania,115010,Simiyu,0.21580781239189095
142,Lesotho,1803,Berea,0.21464229000758436
253,Uganda,754,Bundibugyo,0.21330117984693878
142,Lesotho,1806,Mafeteng,0.21071636559423348
4,Algeria,369,Mostaganem,0.2105663066007653
235,Swaziland,2785,Shiselweni,0.20963807886935187
253,Uganda,781,Otuke,0.2083806818181818
35,Botswana,662,South-East,0.2034783367013087
4,Algeria,372,Oran,0.20278594737279682
145,Libya,1843,Misurata,0.20055144357919483
152,Malawi,1889,Northern Region,0.19994026906018844
253,Uganda,47078,Katakwi,0.19950199093629004
253,Uganda,1086,Gomba,0.19442299732552215
142,Lesotho,1805,Leribe,0.19251548348428343
257,United Republic of Tanzania,48379,Kusini Unguja,0.19182784145176696
77,Eritrea,1210,Maekel,0.1908451140873016
29,Benin,619,Plateau,0.19052083333333333
217,Senegal,2644,Thies,0.1899223901953465
253,Uganda,770,Masaka,0.18815590591820686
220,Seychelles,61167,Fregate,0.1875
227,South Africa,77311,KwaZulu-Natal,0.17871990747268596
42,Burkina Faso,40286,Plateau Central,0.17744095132958074
257,United Republic of Tanzania,48363,Kilimanjaro,0.17390238062524246
253,Uganda,3112,Hoima,0.17189191017316016
248,Tunisia,3012,Sousse,0.17117922502642707
217,Senegal,47585,Diourbel,0.17109282824877803
257,United Republic of Tanzania,115006,Mwanza,0.16848466254518568
253,Uganda,751,Bukwo,0.16831323818897637
243,Togo,2974,Savanes,0.16827229928515852
182,Nigeria,2221,"FCT, Abuja",0.16679166666666667
182,Nigeria,2232,Ogun,0.1661722234687772
47,Cape Verde,839,Brava,0.16521434294871795
172,Namibia,2144,Ohangwena,0.1649715984492303
47,Cape Verde,851,Sao Vicente,0.16411713286713286
271,Zimbabwe,3437,Manicaland,0.16333598850190406
47,Cape Verde,841,Fogo,0.16325525394045534
182,Nigeria,2234,Osun,0.1617751915058096
248,Tunisia,3001,Kasserine,0.15929726665392133
150,Madagascar,41765,Itasy,0.1578502776755032
40765,Egypt,61521,Ismailia,0.15683781404180733
105,Guinea-Bissau,1386,Biombo,0.15317913679808842
160,Mauritius,2026,Savanne,0.15217752659574468
271,Zimbabwe,69550,Mashonaland East,0.15162845830055574
253,Uganda,752,Bulambuli,0.15044393610421836
142,Lesotho,1807,Maseru,0.14946295471591975
235,Swaziland,2783,Lubombo,0.14941585248101596
58,Comoros,969,Ngazidja,0.1491664946325351
150,Madagascar,41770,Vakinankaratra,0.14813789834361074
257,United Republic of Tanzania,115002,Geita,0.14806925102073817
182,Nigeria,65707,Plateau,0.14767771557746043
253,Uganda,1344,Kyankwanzi,0.14721617670406434
145,Libya,1849,Tarhunah,0.1450492527173913
182,Nigeria,2223,Jigawa,0.14436337693623918
42,Burkina Faso,40279,Centre-est,0.1439502044641336
145,Libya,1845,Nuqat Al Khams,0.142714636329958
58,Comoros,967,Anjouan,0.1424272896039604
76,Equatorial Guinea,1199,Bioko Norte,0.1416546809623431
220,Seychelles,61186,North Island,0.140625
40765,Egypt,61530,Port Said,0.1396035777385159
45,Cameroon,821,Nord - Ouest,0.1394701453217664
182,Nigeria,65708,Rivers,0.13936187957047996
94,Ghana,1326,Central,0.13736514996479182
253,Uganda,771,Masindi,0.13717179665358623
50,Chad,12931,Tandjile Ouest,0.13660389868025394
253,Uganda,745,Amuru,0.13552489257122674
253,Uganda,766,Kween,0.13469488807847083
253,Uganda,783,Pader,0.13450426283713693
253,Uganda,790,Agago,0.1344121117539586
257,United Republic of Tanzania,48366,Mara,0.13323271069303816
220,Seychelles,61192,Port Glaud,0.13309151785714285
253,Uganda,1241,Kiryandongo,0.13137398177449602
253,Uganda,42189,Mayuge,0.13035247183011392
42,Burkina Faso,40282,Centre-sud,0.1301380375072759
29,Benin,620,Zou,0.12959437169099952
40765,Egypt,61518,Fayoum,0.12643076019560215
4,Algeria,366,Mascara,0.12429621022937477
150,Madagascar,41752,Analamanga,0.1228302264543584
42,Burkina Faso,40281,Centre-ouest,0.1213800814776154
248,Tunisia,3007,Medenine,0.12098959562293535
42,Burkina Faso,40280,Centre-nord,0.12064912010083112
217,Senegal,1373,Kaolack,0.11988772568244645
253,Uganda,3104,Adjumani,0.11884097337196468
42,Burkina Faso,40285,Nord,0.11715005990415335
142,Lesotho,1804,Butha Buthe,0.11632893041237113
217,Senegal,47586,Fatick,0.11564998153974573
182,Nigeria,65702,Ekiti,0.11490642943047796
70,Djibouti,1095,Djibouti,0.11447010869565218
142,Lesotho,1808,Mohale's Hoek,0.11435726610429447
271,Zimbabwe,3438,Mashonaland Central,0.11413368404385428
214,Sao Tome and Principe,2621,Sao Tome,0.11406092489919355
182,Nigeria,65699,Bauchi,0.11371445040155326
253,Uganda,42195,Nakasongola,0.11346260482498785
253,Uganda,47089,Nakaseke,0.11238542691929133
253,Uganda,3136,Moyo,0.11229008469626169
94,Ghana,1324,Ashanti,0.11219233539005118
257,United Republic of Tanzania,48380,Tabora,0.11208211185026497
4,Algeria,375,Relizane,0.11145859352697687
253,Uganda,784,Rubirizi,0.11134773700531601
133,Kenya,51331,Rift Valley,0.11125654285737946
243,Togo,2971,Kara,0.11066741202750405
182,Nigeria,2224,Kaduna,0.10988817618509095
271,Zimbabwe,3444,Midlands,0.10923033119605527
40765,Egypt,61536,Suhag,0.10789477438746005
94,Ghana,1327,Eastern,0.10785494137915604
105,Guinea-Bissau,1388,Cacheu,0.10719489913022469
106,Guinea,40706,Mamou,0.10607507675956543
220,Seychelles,61204,Ste Anne,0.10546875
257,United Republic of Tanzania,48359,Dodoma,0.10515962002351414
133,Kenya,51327,Eastern,0.10471946825053695
182,Nigeria,2235,Oyo,0.10418827500848268
4,Algeria,343,Ain-Temouchent,0.10374750812167749
257,United Republic of Tanzania,48377,Singida,0.10269466410299062
144,Liberia,1822,Margibi,0.10172556925996205
42,Burkina Faso,40288,Sud-ouest,0.1010930965010711
182,Nigeria,65704,Gombe,0.10101559161800314
182,Nigeria,2218,Delta,0.10030204251314839
253,Uganda,763,Kitgum,0.09789306796426292
172,Namibia,2147,Oshana,0.09723867902393242
271,Zimbabwe,3441,Masvingo,0.09639843738927706
45,Cameroon,818,Extr̻me - Nord,0.09549075001855563
47,Cape Verde,846,Sal,0.09435317095588236
77,Eritrea,1207,Debub,0.09433327693852603
253,Uganda,779,Ntoroko,0.09372044164726426
106,Guinea,40705,Labe,0.09357643050075592
170,Mozambique,2118,Nampula,0.0933759925091159
257,United Republic of Tanzania,115007,Njombe,0.09274914221018075
170,Mozambique,2122,Zambezia,0.09271127352483795
220,Seychelles,61166,Felicite,0.09244791666666667
94,Ghana,1333,Western,0.09229270294251346
42,Burkina Faso,40284,Hauts-bassins,0.09215651304369187
4,Algeria,346,Batna,0.09112527728163171
257,United Republic of Tanzania,115004,Kagera,0.09060910139611926
182,Nigeria,65706,Ondo,0.09032387278857705
253,Uganda,753,Buliisa,0.08967969440760389
142,Lesotho,1811,Quthing,0.08927977773556231
47,Cape Verde,849,Santo Antao,0.08880124598070739
94,Ghana,1332,Volta,0.08858928478981155
50,Chad,12920,Kabia,0.08771233366657474
66,C̫te d'Ivoire,16844,Sassandra-Marahoue,0.08739068827259165
253,Uganda,1364,Nwoya,0.08733813070316694
182,Nigeria,2211,Adamawa,0.08716396968902865
257,United Republic of Tanzania,48381,Tanga,0.08712324939837943
182,Nigeria,65709,Sokoto,0.08710125253943594
182,Nigeria,2219,Edo,0.08597863267539108
214,Sao Tome and Principe,2620,Principe,0.08525815217391304
50,Chad,876,Logone Occidental,0.08370519664941041
4,Algeria,386,Tissemsilt,0.08364882727765727
257,United Republic of Tanzania,48369,Mtwara,0.0833907448473013
257,United Republic of Tanzania,48365,Manyara,0.08268836139920192
170,Mozambique,41373,Maputo,0.08260540372721889
271,Zimbabwe,3440,Mashonaland West,0.08179540721375399
257,United Republic of Tanzania,48357,Arusha,0.08134447392485036
243,Togo,2973,Plateaux,0.08073090200651563
270,Zambia,3430,Lusaka,0.07986592494339333
150,Madagascar,41751,Amoron I Mania,0.07928485489281027
248,Tunisia,2998,Gafsa,0.07812791592796492
227,South Africa,77310,Eastern Cape,0.07797764217268531
66,C̫te d'Ivoire,16839,District autonome de Yamoussoukro,0.0778077573831009
29,Benin,615,Donga,0.07737376378851274
35,Botswana,661,North East,0.07627331705582996
42,Burkina Faso,40276,Boucle Du Mouhoun,0.07620571908276863
68,Democratic Republic of the Congo,1072,Kinshasa,0.0760907440125638
40765,Egypt,61531,Qena,0.07581547697176526
217,Senegal,2645,Ziguinchor,0.07490056338622553
47,Cape Verde,850,Sao Nicolau,0.0747559731934732
150,Madagascar,41763,Haute Matsiatra,0.07463553626100268
42,Burkina Faso,40277,Cascades,0.07438729468516493
182,Nigeria,2227,Kebbi,0.07431844423537462
270,Zambia,3427,Copperbelt,0.07408709166958773
4,Algeria,374,Oum El Bouaghi,0.07388241584268415
257,United Republic of Tanzania,48367,Mbeya,0.07365017860111091
4,Algeria,388,Tlemcen,0.07320626813583249
271,Zimbabwe,3443,Matabeleland South,0.0731647509525701
58,Comoros,968,Moheli,0.07265009842519685
145,Libya,1839,Banghazi,0.07217538012864429
79,Ethiopia,1233,Hareri,0.07215490362811791
4,Algeria,377,Setif,0.07197395616680533
227,South Africa,77312,Limpopo,0.07187159804796187
66,C̫te d'Ivoire,16837,Comoe,0.07145795580482837
227,South Africa,77313,Mpumalanga,0.07103252491406344
172,Namibia,2146,Omusati,0.07082869410042096
182,Nigeria,2231,Niger,0.07003575870646767
66,C̫te d'Ivoire,16840,G̫h-Djiboua,0.0698961299837266
155,Mali,1933,Sikasso,0.06975412193251533
105,Guinea-Bissau,1390,Oio,0.06945592629482071
29,Benin,612,Borgou,0.06936500032920727
181,Niger,2205,Maradi,0.06930855839820264
248,Tunisia,2997,Gabes,0.06920255790353391
182,Nigeria,65705,Nassarawa,0.06847994449643421
182,Nigeria,2217,Cross River,0.06840554778214017
248,Tunisia,3011,Siliana,0.06755770366559975
90,Gambia,1288,North Bank,0.06725124525616698
94,Ghana,1331,Upper West,0.06704711777414589
253,Uganda,1368,Namayingo,0.06663903002574949
142,Lesotho,1810,Qacha's Nek,0.06659969475751366
182,Nigeria,65710,Zamfara,0.06644299397199345
182,Nigeria,2228,Kogi,0.06526861495472341
90,Gambia,1285,Central River,0.06497399500140806
243,Togo,2970,Centrale,0.06475364404216023
29,Benin,610,Atakora,0.0644912258689216
29,Benin,609,Alibori,0.06373364225882792
50,Chad,12912,Hadjer Lamis,0.06343140211917751
8,Angola,405,Huambo,0.06320945000377377
90,Gambia,1289,Upper River,0.06274965381337878
248,Tunisia,3003,Le Kef,0.06253253056840714
66,C̫te d'Ivoire,16842,Lagunes,0.06029258642232403
50,Chad,12922,Mayo-Dala,0.059741321918040574
270,Zambia,3428,Eastern,0.05968577196107948
106,Guinea,40704,Kindia,0.059666498392409034
270,Zambia,3433,Southern,0.059545344658803304
4,Algeria,382,Tebessa,0.05949298148687275
66,C̫te d'Ivoire,190430,Bas Sassandra,0.058973913101238916
182,Nigeria,2229,Kwara,0.05847801723058429
257,United Republic of Tanzania,48373,Pwani,0.058192143824161824
169,Morocco,147329,Gharb - Chrarda - B̩ni Hssen,0.05752952805607175
40765,Egypt,61511,Assiut,0.057259460083064144
170,Mozambique,2115,Manica,0.05724005944827854
6,Sudan,2753,Khartoum,0.0568883556575673
42,Burkina Faso,40283,Est,0.05688174678307999
50,Chad,12926,Assongha,0.05680457860092927
50,Chad,12918,Logone Oriental,0.0566210133744856
68,Democratic Republic of the Congo,1074,Nord-Kivu,0.05573124863725561
217,Senegal,1376,Sedhiou,0.05572329481397971
170,Mozambique,2114,Inhambane,0.05553529315568409
257,United Republic of Tanzania,115003,Iringa,0.05543808465448806
227,South Africa,77314,North West,0.05540445036611109
4,Algeria,376,Saida,0.05520923075918964
105,Guinea-Bissau,1393,Tombali,0.05518232490427569
94,Ghana,1325,Brong Ahafo,0.05453179701999325
155,Mali,1932,Segou,0.05410823523590349
42,Burkina Faso,40287,Sahel,0.053895623434735654
217,Senegal,47587,Louga,0.05300712964342471
181,Niger,2204,Dosso,0.05253819973969289
142,Lesotho,1812,Thaba Tseka,0.05250019165900031
182,Nigeria,2239,Taraba,0.05248755278528172
182,Nigeria,2240,Yobe,0.05229681706169527
144,Liberia,1814,Bomi,0.05177984022556391
270,Zambia,3426,Central,0.05156623378470642
271,Zimbabwe,69549,Matabeleland North,0.05130270341291803
169,Morocco,147337,Tanger - T̩touan,0.05072336068622783
45,Cameroon,819,Littoral,0.05068893606789549
40765,Egypt,61514,Beni Suef,0.050686712923877865
45,Cameroon,816,Centre,0.05063123482427125
221,Sierra Leone,2654,Eastern,0.05060629270144236
8,Angola,399,Benguela,0.04820360352245512
217,Senegal,47589,Saint louis,0.04795488884092381
217,Senegal,1378,Kaffrine,0.04777079740588538
142,Lesotho,1809,Mokhotlong,0.04735950157515752
50,Chad,12925,Mandoul,0.04719681150899481
217,Senegal,1375,Kolda,0.04714726796407186
4,Algeria,351,Bordj Bou Arrer,0.04677446897585052
105,Guinea-Bissau,1385,Bafata,0.046629419328154224
144,Liberia,1815,Bong,0.04650906418422342
253,Uganda,767,Lamwo,0.04615918252330735
6,Sudan,2745,Al Jazeera,0.0459125
169,Morocco,147327,Doukkala - Abda,0.0455785417817853
133,Kenya,51326,Coast,0.045571169517154536
145,Libya,1832,Al Jabal Al Akhdar,0.04516964942454137
155,Mali,1930,Koulikoro,0.045152147355971985
66,C̫te d'Ivoire,16843,Montagnes,0.04465817156330101
8,Angola,406,Huila,0.04461922035737178
29,Benin,613,Collines,0.04433333144659784
4,Algeria,370,M'Sila,0.044190788060459306
79,Ethiopia,1231,Dire Dawa,0.04367019154030327
221,Sierra Leone,2655,Northern,0.04310852148419121
35,Botswana,658,Kgatleng,0.04290076765353071
144,Liberia,1817,Grand Bassa,0.04260235113811304
257,United Republic of Tanzania,48375,Ruvuma,0.04198264462878778
182,Nigeria,65700,Bayelsa,0.04178486567743187
150,Madagascar,41771,Vatovavy Fitovinany,0.041664460765439705
221,Sierra Leone,2656,Southern,0.0415092882309634
182,Nigeria,2216,Borno,0.04150558434419372
76,Equatorial Guinea,1202,Kientem,0.041274944020021076
257,United Republic of Tanzania,48368,Morogoro,0.041074399103747966
90,Gambia,1287,Lower River,0.040793293772332824
4,Algeria,384,Tiaret,0.04075889188551247
68,Democratic Republic of the Congo,1076,Sud-Kivu,0.04045412879441759
257,United Republic of Tanzania,115008,Rukwa,0.03994410713750637
150,Madagascar,41757,Atsimo Atsinanana,0.03976377341643408
106,Guinea,40700,Boke,0.03928451356816787
68,Democratic Republic of the Congo,1067,Bas-Congo,0.039035118872587975
150,Madagascar,41754,Androy,0.038939348710642835
253,Uganda,744,Amudat,0.03893823755772191
257,United Republic of Tanzania,48362,Kigoma,0.03843113287337971
4,Algeria,378,Sidi Bel Abbes,0.03834063228328697
105,Guinea-Bissau,1391,Quinara,0.03804034052737655
170,Mozambique,2120,Sofala,0.03759862052094982
8,Angola,401,Cabinda,0.037574872128499644
169,Morocco,147326,Chaouia - Ouardigha,0.03692052732591014
270,Zambia,3429,Luapula,0.03690176672361792
40765,Egypt,61535,Suez,0.03662097757554128
227,South Africa,2714,Western Cape,0.03642560650735966
270,Zambia,3432,Northern,0.036423239045995245
253,Uganda,765,Kotido,0.035975361997635937
4,Algeria,364,Khenchela,0.035851517699603
150,Madagascar,41750,Alaotra Mangoro,0.035509516626245505
50,Chad,12921,Mayo-Boneye,0.03537294328925986
45,Cameroon,824,Sud - Ouest,0.0351409943751296
144,Liberia,1825,Nimba,0.03512802523409275
66,C̫te d'Ivoire,1048,Savanes,0.03495357535160931
150,Madagascar,41753,Analanjirofo,0.03484290729803639
181,Niger,2208,Tillaberi,0.03470679213113856
66,C̫te d'Ivoire,16841,Lacs,0.034385048640507974
47,Cape Verde,844,Maio,0.03431165540540541
145,Libya,1852,Yafran (yefren),0.03429058309433377
227,South Africa,2707,Free State,0.03325815981676303
144,Liberia,1823,Maryland,0.033184414148857776
105,Guinea-Bissau,1387,Bolama/bijagos,0.03274550557056043
172,Namibia,2148,Oshikoto,0.03271209483446769
106,Guinea,40702,Faranah,0.032653871866459336
94,Ghana,1329,Northern,0.03254752647378266
170,Mozambique,2121,Tete,0.03251131034912922
169,Morocco,147334,Rabat - Sal̩ - Zemmour - Zaer,0.032364679818311363
150,Madagascar,41762,Diana,0.03227964157378319
170,Mozambique,2113,Gaza,0.032273766954537875
40765,Egypt,61526,Menia,0.032154955135467386
106,Guinea,40707,Nzerekore,0.031978893260180836
50,Chad,875,Lac,0.03150949646643109
150,Madagascar,41768,Sava,0.031389421486524134
169,Morocco,147336,Tadla - Azilal,0.031301551424640923
253,Uganda,743,Abim,0.031165173724212812
150,Madagascar,41761,Bongolava,0.030992429672101775
4,Algeria,367,Medea,0.03050779378891905
40765,Egypt,61520,Giza,0.03034684459626944
169,Morocco,147333,Marrakech - Tensift - Al Haouz,0.02967369954992555
76,Equatorial Guinea,1203,Litoral,0.029529013404904377
77,Eritrea,1209,Gash Barka,0.029448880465225796
